,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,136685,96.07751827968436,66.68986342062902
39,Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,78641,96.4151009561809,55.90026810608788
40,Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,82345,96.42205533902471,67.6513373475004
41,Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,44143,95.12148924206103,61.78802844245984
42,Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,122063,96.16490512836631,72.7786343128351
43,Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,122191,94.94130084872589,65.58757517090137
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,53918,95.09942529790867,58.26690633715113
45,Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,70951,96.31836948602253,64.72744053403392
46,Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,41373,95.87816429494043,55.15520626912039
47,Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,60296,96.7506428482425,65.58504304136596
48,Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,195631,96.21599986658438,60.582739091880065
49,Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,68313,94.85538097907607,68.91447943921963
